input_1_einstein.yml,1,29.05,77.05,36.76,9.15,152.01
input_1_einstein.yml,2,30.13,56.82,28.25,6.62,121.82
input_1_einstein.yml,1,30.42,61.35,28.65,7.10,127.52
input_1_einstein.yml,3,29.89,91.65,29.70,8.15,159.38
input_1_einstein.yml,4,29.41,65.71,44.43,9.70,149.25
input_1_einstein.yml,1,27.00,78.17,28.64,7.37,141.18
input_1_einstein.yml,2,27.83,82.14,36.70,7.88,154.55
input_1_einstein.yml,2,31.26,78.78,28.09,6.31,144.45
input_1_einstein.yml,2,52.79,126.82,43.85,11.92,235.37
input_1_einstein.yml,3,56.00,68.07,25.90,7.33,157.29
input_2_einstein.yml,1,34.50,72.01,31.04,7.67,145.22
input_2_einstein.yml,5,29.26,62.46,26.37,8.61,126.70
input_2_einstein.yml,6,51.44,86.41,40.78,14.74,193.37
input_2_einstein.yml,2,26.57,67.91,28.00,8.10,130.58
input_2_einstein.yml,2,29.17,78.40,30.88,7.56,146.00
input_2_einstein.yml,5,27.46,51.60,27.43,7.99,114.48
input_2_einstein.yml,2,27.16,92.58,36.81,9.49,166.04
input_2_einstein.yml,1,28.10,67.57,28.13,7.73,131.53
input_2_einstein.yml,0,29.13,81.66,29.45,7.50,147.73
input_2_einstein.yml,4,28.53,53.61,27.67,7.91,117.72
input_3_einstein.yml,5,28.59,66.58,33.12,11.33,139.63
input_3_einstein.yml,2,31.10,66.24,26.92,10.64,134.90
input_3_einstein.yml,4,30.25,75.25,33.50,16.15,155.15
input_3_einstein.yml,4,29.05,77.75,28.62,12.62,148.04
input_3_einstein.yml,4,39.07,80.57,28.34,10.59,158.57
input_3_einstein.yml,5,32.01,77.19,26.17,11.14,146.51
input_3_einstein.yml,4,27.95,76.43,26.96,12.59,143.95
input_3_einstein.yml,3,31.75,67.03,32.93,11.17,142.89
input_3_einstein.yml,3,37.82,68.20,28.91,9.88,144.81
input_3_einstein.yml,3,35.43,79.99,26.14,14.48,156.04
